"Domain","X1","Y1","X2","Y2","Width","Height","Area","Coords"
"www.trellixanywhere.com","350","800","360","810","10","10","100","350,800,360,810"
"www.rkeurope.co.uk","300","420","310","430","10","10","100","300,420,310,430"
"www.rakefish.co.uk","700","270","710","280","10","10","100","700,270,710,280"
"www.999lingo.co.uk","780","360","790","370","10","10","100","780,360,790,370"
"www.milliondollarcouple.com","0","810","10","820","10","10","100","0,810,10,820"
"www.rakefish.net","780","250","790","260","10","10","100","780,250,790,260"
"www.servanthost.com","350","860","360","870","10","10","100","350,860,360,870"
"www.adreamhouseinfrance.com","360","550","370","560","10","10","100","360,550,370,560"
"oceanphotographicservices.co.uk","10","950","20","960","10","10","100","10,950,20,960"
"www.mrcd.co.uk","540","620","550","630","10","10","100","540,620,550,630"
"www.themens-room.org.uk","840","450","850","460","10","10","100","840,450,850,460"
"www.siteology.co.uk","980","370","990","380","10","10","100","980,370,990,380"
"www.pinevalleygiftbaskets.com","260","510","270","520","10","10","100","260,510,270,520"
"www.findaridingholiday.com","530","490","540","500","10","10","100","530,490,540,500"
"www.windiets.co.uk","660","460","670","470","10","10","100","660,460,670,470"
"www.curtainfabricsonline.com","790","60","800","70","10","10","100","790,60,800,70"
"www.onemillion.ms","950","950","960","960","10","10","100","950,950,960,960"
"www.onlineletterhead.com","770","360","780","370","10","10","100","770,360,780,370"
"www.thelabrat.co.uk","260","120","270","130","10","10","100","260,120,270,130"
"www.planet101-online.co.uk","240","490","250","500","10","10","100","240,490,250,500"
"www.sonneries.ma","250","400","260","410","10","10","100","250,400,260,410"
"www.artisticdirectory.co.uk","20","990","30","1000","10","10","100","20,990,30,1000"
"www.whatshouldipay.co.uk","990","690","1000","700","10","10","100","990,690,1000,700"
"www.vinum.ca","0","740","10","750","10","10","100","0,740,10,750"
"www.mamboip.com","480","500","490","510","10","10","100","480,500,490,510"
"www.perfumesandpampering.com","900","320","910","330","10","10","100","900,320,910,330"
"www.milesaheadrecruitment.co.uk","590","410","600","420","10","10","100","590,410,600,420"
"www.claireeccles.com","80","130","90","140","10","10","100","80,130,90,140"
"practisearch.com","520","640","530","650","10","10","100","520,640,530,650"
"www.num-skullz.com","480","190","490","200","10","10","100","480,190,490,200"
"www.autotraderbrowser.co.uk","150","320","160","330","10","10","100","150,320,160,330"
"www.invoicebyclick.com","440","350","450","360","10","10","100","440,350,450,360"
"www.firstforincome.com","270","460","280","470","10","10","100","270,460,280,470"
"www.greatshortbreaks.com","290","530","300","540","10","10","100","290,530,300,540"
"www.mtlumby2d.com","610","540","620","550","10","10","100","610,540,620,550"
"www.middlegateprints.com","390","10","400","20","10","10","100","390,10,400,20"
"adkaideas.com","590","270","600","280","10","10","100","590,270,600,280"
"www.lyric-search.net","990","970","1000","980","10","10","100","990,970,1000,980"
"3ghandsets.info","560","160","570","170","10","10","100","560,160,570,170"
"www.where2.bm","110","490","120","500","10","10","100","110,490,120,500"
"www.creditcardexpert.co.uk","910","50","920","60","10","10","100","910,50,920,60"
"www.discountedorfree.co.uk","120","0","130","10","10","10","100","120,0,130,10"
"www.tonething.co.uk","580","140","590","150","10","10","100","580,140,590,150"
"www.swanwebs.co.uk","490","500","500","510","10","10","100","490,500,500,510"
"www.bellycise.com","680","230","690","240","10","10","100","680,230,690,240"
"www.incomejust4you.com","50","80","60","90","10","10","100","50,80,60,90"
"www.allreachinghealing.com","360","790","370","800","10","10","100","360,790,370,800"
"www.glowguide.net","930","0","940","10","10","10","100","930,0,940,10"
"www.placeclick.com.au","70","50","80","60","10","10","100","70,50,80,60"
"www.urban-concept.co.uk","360","320","370","330","10","10","100","360,320,370,330"
"www.theatrelayout.co.uk","600","290","610","300","10","10","100","600,290,610,300"
"work-at-home-now.us","160","70","170","80","10","10","100","160,70,170,80"
"www.blingal.co.uk","850","430","860","440","10","10","100","850,430,860,440"
"www.fastminimoto.co.uk","320","70","330","80","10","10","100","320,70,330,80"
"www.splashselect.co.uk","400","820","410","830","10","10","100","400,820,410,830"
"www.weight-loss-slimming.com","210","330","220","340","10","10","100","210,330,220,340"
"www.speartrent.co.uk","390","220","400","230","10","10","100","390,220,400,230"
"www.discount-insurance.com.au","770","30","780","40","10","10","100","770,30,780,40"
"www.internetillumination.co.uk","870","10","880","20","10","10","100","870,10,880,20"
"www.trakstars.co.uk","740","80","750","90","10","10","100","740,80,750,90"
"www.trulyplumptious.com","20","350","30","360","10","10","100","20,350,30,360"
"www.buy-games-online.co.uk","750","60","760","70","10","10","100","750,60,760,70"
"www.888hairexperts.com","370","150","380","160","10","10","100","370,150,380,160"
"clickpyramid.com","730","260","740","270","10","10","100","730,260,740,270"
"www.muffetmonro.com","650","110","660","120","10","10","100","650,110,660,120"
"www.colombian.tv","920","290","930","300","10","10","100","920,290,930,300"
"www.lachicfantastique.com","630","80","640","90","10","10","100","630,80,640,90"
"www.spottysearch.co.uk","740","100","750","110","10","10","100","740,100,750,110"
"www.simplerebates.co.uk","500","210","510","220","10","10","100","500,210,510,220"
"swisspixels.ch","500","660","510","670","10","10","100","500,660,510,670"
"boneheadshirtsuk.co.uk","340","740","350","750","10","10","100","340,740,350,750"
"www.tekmedic.co.uk","490","170","500","180","10","10","100","490,170,500,180"
"www.evocal.co.uk","250","890","260","900","10","10","100","250,890,260,900"
"www.t-f-p.com","390","520","400","530","10","10","100","390,520,400,530"
"www.tiscali-iba.co.uk","620","180","630","190","10","10","100","620,180,630,190"
"www.marvillar.co.uk","490","820","500","830","10","10","100","490,820,500,830"
"www.briansellars.co.uk","140","890","150","900","10","10","100","140,890,150,900"
"www.djcraft.co.uk","130","390","140","400","10","10","100","130,390,140,400"
"www.alertcvs.co.uk","260","110","270","120","10","10","100","260,110,270,120"
"www.thehostingindex.net","90","890","100","900","10","10","100","90,890,100,900"
"www.normanspence.co.uk","280","890","290","900","10","10","100","280,890,290,900"
"www.luckydevils.co.uk","500","790","510","800","10","10","100","500,790,510,800"
"www.big10pixels.com","510","800","520","810","10","10","100","510,800,520,810"
"www.minimillions.org.uk","280","100","290","110","10","10","100","280,100,290,110"
"www.icedudes.com","790","240","800","250","10","10","100","790,240,800,250"
"www.dflipcards.ch","270","490","280","500","10","10","100","270,490,280,500"
"www.cash-advance-express.biz","350","700","360","710","10","10","100","350,700,360,710"
"www.swisspixels.ch","810","730","820","740","10","10","100","810,730,820,740"
